tag stkCnt PrgCnt
.net	16.0	3.0
amazon-ec2	29873501.0	64727.0
android	59.0	2.0
angularjs	2.0	3.0
asp.net	13.0	2.0
asp.net-mvc	24.0	4.0
authentication	8.0	185173.0
azure	3.0	64727.0
c	22.0	5.0
c#	65.0	11.0
c++	33.0	7.0
caching	7.0	125874.0
class	5.0	227766.0
comparison	4.0	107130.0
data-structures	4.0	2.0
database	5.0	3.0
database-design	4.0	4.0
debugging	5.0	2.0
design	29873854.0	11.0
django	10.0	227701.0
error-handling	29873647.0	2.0
excel	17.0	206032.0
functional-programming	4.0	2.0
go	4.0	198740.0
google-app-engine	4.0	64727.0
graphics	3.0	18086.0
hibernate	3.0	268100.0
http	3.0	230233.0
installer	4.0	34028.0
java	89.0	8.0
java-ee	7.0	260883.0
javascript	71.0	6.0
language-design	4.0	231336.0
laravel	29873899.0	270345.0
loops	8.0	157739.0
mysql	16.0	144128.0
node.js	30.0	3.0
nosql	29873786.0	190802.0
objective-c	27.0	209022.0
optimization	4.0	2.0
performance	15.0	3.0
php	47.0	7.0
productivity	4.0	2.0
python	30.0	4.0
rest	4.0	263152.0
ruby-on-rails	14.0	104611.0
schema	4.0	270345.0
scripting	4.0	2.0
security	4.0	6.0
session	2.0	230233.0
shell	4.0	38569.0
sorting	4.0	278978.0
source-code	4.0	3.0
sql	9.0	2.0
sql-server	5.0	3.0
unicode	29873831.0	102205.0
uri	4.0	270746.0
url	12.0	270746.0
visual-c++	3.0	115566.0
wcf	4.0	219395.0
xhtml	4.0	233877.0
